size,solutionFound,time
4,1,8.20159912109375e-05
4,1,0.00012230873107910156
4,1,0.00010943412780761719
4,1,5.1975250244140625e-05
4,0,4.100799560546875e-05
4,1,8.368492126464844e-05
4,0,4.5299530029296875e-05
4,1,9.250640869140625e-05
4,1,4.744529724121094e-05
4,1,6.246566772460938e-05
4,1,6.246566772460938e-05
4,1,0.00010609626770019531
4,0,5.888938903808594e-05
4,0,7.081031799316406e-05
4,0,4.291534423828125e-05
4,1,7.963180541992188e-05
4,1,6.246566772460938e-05
4,1,6.079673767089844e-05
4,0,5.412101745605469e-05
4,1,0.00010895729064941406
4,0,5.245208740234375e-05
4,1,7.796287536621094e-05
4,1,4.887580871582031e-05
4,1,0.00010037422180175781
4,0,4.506111145019531e-05
4,1,9.989738464355469e-05
4,1,8.392333984375e-05
4,0,6.198883056640625e-05
4,0,5.507469177246094e-05
4,0,5.030632019042969e-05
4,1,0.00010943412780761719
4,0,3.123283386230469e-05
4,1,0.0001277923583984375
4,0,6.413459777832031e-05
4,1,0.0001380443572998047
4,1,0.00011587142944335938
4,1,9.226799011230469e-05
4,1,7.152557373046875e-05
4,1,0.00010991096496582031
4,1,8.654594421386719e-05
4,1,0.00011491775512695312
4,1,5.9604644775390625e-05
4,1,6.961822509765625e-05
4,1,9.34600830078125e-05
4,1,6.580352783203125e-05
4,1,8.344650268554688e-05
4,1,9.679794311523438e-05
4,1,0.0001308917999267578
4,0,6.127357482910156e-05
4,0,6.389617919921875e-05
4,0,3.647804260253906e-05
4,1,6.937980651855469e-05
4,0,5.078315734863281e-05
4,0,4.935264587402344e-05
4,1,9.083747863769531e-05
4,0,6.699562072753906e-05
4,1,0.00013303756713867188
4,1,5.555152893066406e-05
4,0,6.103515625e-05
4,1,9.5367431640625e-05
4,0,3.743171691894531e-05
4,1,6.389617919921875e-05
4,1,8.392333984375e-05
4,0,4.553794860839844e-05
4,1,0.00011897087097167969
4,0,3.457069396972656e-05
4,0,5.841255187988281e-05
4,0,6.079673767089844e-05
4,1,8.416175842285156e-05
4,0,5.125999450683594e-05
4,1,9.322166442871094e-05
4,1,5.888938903808594e-05
4,0,6.771087646484375e-05
4,0,6.67572021484375e-05
4,1,8.869171142578125e-05
4,1,8.678436279296875e-05
4,1,9.012222290039062e-05
